Source;Target;Place of sending;Place of receiving;Date of sending
skp006847;skp005975;[Leiden (nl)];?;1615-08-31
skp006847;skp029080;Leiden (nl);?;1615-12
skp006847;skp041338;[Leiden (nl)];Dordrecht (nl);1619-02-20
skp006847;epist11693;[Leiden (nl)];?;1619-07-07
skp006847;epist11539;Frankfurt am Main (de);?;1620-08
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-05-04
skp004781;skp006847;Köln (de);Leiden (nl);1624-05-20
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-06-02
skp004781;skp006847;Köln (de);[Leiden (nl)];1624-06-22
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-07-23
skp004781;skp006847;Köln (de);[Leiden (nl)];1624-08-25
skp006847;skp004781;Leiden (nl);[Köln (de)];1625
skp006847;skp017205;Leiden (nl);?;1624
skp006847;skp024203;Leiden (nl);?;1624-12-17
skp006847;skp024203;Leiden (nl);?;1625-01-09
skp006847;skp017205;Leiden (nl);?;1625-02-20
skp006847;skp017205;Leiden (nl);?;1625
skp006847;skp026507;Leiden (nl);?;1625-02-21
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-05-07
skp006847;skp017205;Leiden (nl);?;1625-07
skp006847;skp017205;Leiden (nl);?;1625
skp006847;skp005379;Leiden (nl);?;1625-08-01
skp006847;skp017205;Leiden (nl);?;1625-08
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-09-20
skp006847;skp017205;Leiden (nl);?;1625
skp006847;epist11152;Leiden (nl);?;1625
skp006847;skp017205;Leiden (nl);?;1625-11-01
skp006847;skp024203;Leiden (nl);?;1625-11-20
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-11-16
skp006847;skp017205;Leiden (nl);?;1625-11-16
skp006847;epist11151;[Leiden (nl)];?;1625-11-24
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-11-30
skp006847;skp017205;Leiden (nl);?;1625-12-14
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-12-24
skp006847;skp009755;Leiden (nl);?;1625-12-24
skp006847;skp017205;Leiden (nl);?;1625
skp006847;epist11152;Leiden (nl);?;1626-01-01
skp006847;epist11812;Leiden (nl);?;1626-03
skp006847;skp017205;Leiden (nl);?;1627-03-10
skp006847;skp008594;Leiden (nl);[Den Haag (nl)];1626-06-21
skp006847;epist11924;Leiden (nl);?;1626-05-16
skp006847;skp034643;Leiden (nl);?;1626-05-20
skp006847;skp008594;Leiden (nl);Den Haag (nl);1626-05-16
skp006847;skp000288;Leiden (nl);?;1626-08
skp006847;skp008594;Leiden (nl);[Amsterdam (nl)];1627-03?
skp006847;skp017205;Leiden (nl);?;1626-09-10
skp006847;skp024203;Leiden (nl);?;1626-10-25
skp006847;skp017205;Leiden (nl);?;1626-11-03
skp006847;skp008594;[Leiden (nl)];Den Haag (nl);1626-12-14
skp006847;skp017205;Leiden (nl);?;1626-11
skp006847;skp043611;Leiden (nl);[Den Haag (nl)];1627-02
skp006847;skp009025;Leiden (nl);?;1627-02-18
skp006847;epist10192;Leiden (nl);?;1627-03-25
skp006847;skp001448;Leiden (nl);?;1627-04-15
skp006847;skp041426;Leiden (nl);?;1627-02-21
skp006847;skp008594;Leiden (nl);Den Haag (nl);1627-06-27
skp006847;skp000288;Leiden (nl);?;1627-05-08
skp006847;skp017205;Leiden (nl);?;1627-05-10
skp006847;skp024203;Leiden (nl);?;1627-05-26
skp006847;skp034643;Leiden (nl);?;1627-06
skp006847;skp000288;Leiden (nl);?;1627-06-12
skp006847;skp008594;Leiden (nl);Groenlo (nl);1627-08-20
skp006847;skp034261;Leiden (nl);?;1627-07-19
skp006847;skp000288;Leiden (nl);?;1627-03-20
skp006847;skp002047;Leiden (nl);?;1627-09-20
skp006847;skp024203;Leiden (nl);?;1627-10
skp006847;epist10365;Leiden (nl);?;1627-10-16
skp006847;skp017205;Leiden (nl);?;1627-11-01
skp006847;skp038724;Leiden (nl);?;1627-11-17
skp006847;skp037823;Leiden (nl);?;1627-12
skp006847;skp037823;Leiden (nl);?;1627-12
skp006847;epist11152;Leiden (nl);?;1627-12-18
skp006847;epist11181;Leiden (nl);?;1627-12-27
skp006847;skp000288;Leiden (nl);?;1627-12-28
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-01-26
skp006847;skp017205;Leiden (nl);?;1628-01-28
skp006847;skp017205;Leiden (nl);?;1628-02-01
skp006847;skp009887;Leiden (nl);?;1628-02-01
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-03-17
skp006847;skp002047;Leiden (nl);?;1628-04-01
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-04-03
skp006847;skp009025;Leiden (nl);?;1628-05-23
skp006847;skp001448;Leiden (nl);?;1628
skp006847;epist11181;Leiden (nl);?;1628-07-01
skp006847;skp013151;Leiden (nl);?;1628-08-13
skp006847;epist11238;Leiden (nl);?;1628-08-14
skp006847;skp010628;Leiden (nl);Venezia (it);1628-08-17
skp006847;skp009025;Leiden (nl);?;1628-08-17
skp006847;skp034643;Leiden (nl);?;1628-08-30
skp006847;skp020263;Leiden (nl);[Paris (fr)];1628-09-07
skp020263;skp006847;Paris (fr);[Leiden (nl)];1628-11-10
skp006847;skp000288;Leiden (nl);?;1628-09-13
skp006847;skp017205;Leiden (nl);?;1628-09-28
skp006847;skp010628;[Leiden (nl)];?;1628-10-02
skp006847;skp030987;Leiden (nl);Den Haag (nl);1628-10-20
skp006847;epist11548;Leiden (nl);?;1628-10-20
skp006847;skp017205;Leiden (nl);?;1628-11-12
skp006847;skp010628;Leiden (nl);?;1628-11-17
skp006847;skp009025;Leiden (nl);?;1628-11-17
skp006847;epist10931;[Leiden (nl)];?;1628-12-09
