Id;Label;Type of Name;Date of Birth;Date of Death;Bio;Places;Languages
skp000222;A. Affelman;namedPerson;0;0;;Bourges;lat
skp000224;Andrea de Prada y Muxica;namedPerson;0;0;;null|Sas van Gent;fra
skp000233;Adrien Auzout;namedPerson;1622;1691;"French astronomer; mathematician; FRS";;fra
skp000281;Alexander Bruce;namedPerson;1629;1680;"2nd count of Kincardine|Second earl of Kincardine; landowner; politician";null|Den Haag;eng|fra
skp000288;Arnoldus Buchelius;namedPerson;1565;1641;Douai|Dutch antiquarian|humanist|jurist;Utrecht|null|'s-Gravenhage|S.l.|Alkmaar|S.L.|Leiden|Keulen|Haarlem|Den Haag|Heidelberg|Amsterdam|Rome|Dordrecht|Antwerpen|Kleve|Geijn|Harderwijk|Gouda|Parijs|Lyon|Rotterdam|Oudewater|Emden|Duaco|Eemskerk;ned|lat
skp000379;Artus Gouffier de Roanez;namedPerson;1627;1696;duc de Roanez;;fra
skp000497;Assuerus Matthisius;namedPerson;1593;1651;;Rotterdam|Hamburg|Helmstadt|Parijs|null;lat
skp000616;Arend van Slichtenhorst;namedPerson;1616;1657;;Utrecht|S.l.|Amersfoort;lat
skp000618;A. Smets;namedPerson;0;0;;S.l.;
skp000642;André Tacquet;namedPerson;1612;1660;"Flemish mathematician; Jesuit";;lat|ned
skp000684;Adolphus Van Voorst;namedPerson;1597;1663;;Utrecht|Leiden|null|S.l.|Den Haag|[S.l.]|Rome;fra|ned|lat|ita|grk
skp000738;Abraham de Graaf;namedPerson;1635;1717;Amsterdam mathematician;null|'s-Gravenhage;ned
skp000750;A. de Lannion;namedPerson;0;0;;;fra
skp000758;Alphonse de Pollot;namedPerson;1603;1668;"Italian scholar; steward for Amalia of Orange, 1648|prins|prins van Oranje (1584-1647)";Amsterdam|null|'s-Gravenhage|Turnhout;ita|fra
skp000761;A. de Ruquelmont;namedPerson;0;0;;Maastricht;fra
skp000772;Abraham du Quesne de Monros;namedPerson;1663;1695;;S.l.|null;fra
